四年级一班2026年秋季期中考试成绩单
姓名,学号,班级,考试日期,语文,数学,英语,科学,总分,班级排名
陈嘉树,20230003,四年级一班,2026-11-05,92,95,88,90,365,2
周砚,20230004,四年级一班,2026-11-05,85,88,79,84,336,7
赵晨曦,20250301,四年级一班,2026-11-05,96,91,94,92,373,1
钱雨泽,20250302,四年级一班,2026-11-05,78,83,81,86,328,9
孙梦琪,20250303,四年级一班,2026-11-05,91,89,93,88,361,3
李承宇,20250304,四年级一班,2026-11-05,83,92,85,90,350,5
周思远,20250305,四年级一班,2026-11-05,75,80,72,78,305,10
吴佳怡,20250306,四年级一班,2026-11-05,89,86,90,84,349,6
郑子轩,20250307,四年级一班,2026-11-05,94,87,88,91,360,4
王诗雅,20250308,四年级一班,2026-11-05,82,84,79,83,328,8
