四年级一班2026-2027学年第一学期期末考试成绩表
姓名,学号,班级,考试日期,数学,语文,英语,科学,道德与法治,总分,平均分
陈嘉树,20230003,四年级一班,2027-01-15,96,90,92,89,91,458,91.6
周砚,20230004,四年级一班,2027-01-15,89,86,84,88,85,432,86.4
赵晨曦,20250301,四年级一班,2027-01-15,93,97,95,93,94,472,94.4
钱雨泽,20250302,四年级一班,2027-01-15,85,80,83,87,84,419,83.8
孙梦琪,20250303,四年级一班,2027-01-15,92,93,94,90,92,461,92.2
李承宇,20250304,四年级一班,2027-01-15,94,85,88,91,89,447,89.4
周思远,20250305,四年级一班,2027-01-15,82,78,76,80,79,395,79.0
吴佳怡,20250306,四年级一班,2027-01-15,88,90,89,86,87,440,88.0
郑子轩,20250307,四年级一班,2027-01-15,90,95,87,92,90,454,90.8
王诗雅,20250308,四年级一班,2027-01-15,86,84,82,85,83,420,84.0
