春晖小学2024级三年级（2）班花名册
姓名,学号,性别,出生日期,监护人,联系电话,家庭住址,备注
陈梓涵,20240201,女,2017-11-23,陈志强,13800000101,春晖路8号2栋1单元301,
林一诺,20240202,男,2018-01-15,林卫东,13800000102,春晖路8号2栋1单元502,
王浩然,20240203,男,2017-09-02,王建军,13800000103,文化路21号5栋601,
刘思彤,20240204,女,2017-12-08,刘丽华,13800000104,文化路21号5栋302,视力矫正
张子墨,20240205,男,2018-03-27,张伟,13800000105,育才巷3号1栋201,
李雨桐,20240206,女,2017-10-19,李秀梅,13800000106,育才巷3号1栋401,
周俊熙,20240207,男,2018-05-11,周国平,13800000107,朝阳街66号3栋802,
吴雅静,20240208,女,2017-08-30,吴海燕,13800000108,朝阳街66号3栋503,
郑博文,20240209,男,2018-02-14,郑立新,13800000109,春晖路15号6栋102,
孙诗涵,20240210,女,2017-11-05,孙美玲,13800000110,春晖路15号6栋402,
