春晖小学2024级三年级（1）班花名册
姓名,学号,性别,出生日期,监护人,联系电话,家庭住址,备注
赵一鸣,20240101,男,2017-09-18,赵建军,13800000201,春晖路22号1栋101,
钱雨薇,20240102,女,2018-01-26,钱国强,13800000202,春晖路22号1栋402,
孙梓萱,20240103,女,2017-11-12,孙立娟,13800000203,文化路35号2栋201,
李昊天,20240104,男,2017-12-30,李永刚,13800000204,文化路35号2栋603,
周欣怡,20240105,女,2018-02-08,周海涛,13800000205,育才巷9号3栋102,
吴宇轩,20240106,男,2017-10-05,吴建华,13800000206,育才巷9号3栋501,
郑晓彤,20240107,女,2017-09-25,郑文斌,13800000207,朝阳街80号4栋301,
冯子豪,20240108,男,2018-04-16,冯爱华,13800000208,朝阳街80号4栋602,
陈可馨,20240109,女,2017-08-14,陈丽萍,13800000209,春晖路48号5栋201,哮喘，体育课备药
许致远,20240110,男,2017-11-02,许志刚,13800000210,春晖路48号5栋503,
沈依诺,20240111,女,2018-03-09,沈晓峰,13800000211,文化路12号6栋101,随迁子女
韩明轩,20240112,男,2017-12-21,韩德胜,13800000212,文化路12号6栋402,
